,0,
0,1182.682119,LM6 G1 I1
1,1190.16209,LM6 G1 I2
2,1166.899401,LM6 G2 I2
3,1165.01883,LM6 G2 I4
4,1165.895935,LM6 G2 I6
5,1164.867888,LM6 G2 I7
6,1164.415472,LM6 G2 I8
7,1177.666953,LM6 G3 I1
8,1177.537231,LM6 G3 I2
9,1178.066823,LM6 G3 I4
10,1167.716501,LM6 G4 I2
11,1179.510248,LM6 G5 I2
12,1172.799218,LM6 G6 I1
13,1172.224082,LM6 G6 I3
14,1174.784367,LM6 G7 I3
15,1172.599592,LM6 G7 I4
16,1170.144299,LM6 G9 I1
17,1170.716316,LM6 G10 I1
18,1173.837674,LM6 G10 I2
19,1171.847332,LM6 G10 I3
20,1173.240262,LM6 G10 I4
21,1172.282149,LM6 G10 I5
22,1172.437345,LM6 G10 I6
23,1158.028543,LM6 G14 I1
24,1154.518255,LM6 G14 I3
25,1179.401324,LM6 G15 I1
26,1180.514465,LM6 G19 I1
27,1173.176618,LM6 G20 I1
28,1183.36263,LM6 G22 I2
29,1185.494921,LM6 G22 I3
30,1192.506778,LM6 G23 I1
31,1164.751654,LM6 G24 I1
32,1158.114273,LM6 G25 I1
33,1165.560274,LM6 G27 I1
34,1193.326882,LM6 G28 I2
35,1177.649108,LM6 G28 I3
36,1174.172904,LM6 G28 I4
37,1172.087747,LM6 G28 I9
38,1155.816326,LM6 G29 I1
39,1156.000033,LM6 G29 I3
40,1174.519907,LM6 G30 I1
41,1166.402253,LM6 G31 I1
42,1190.881163,LM0 G1 I1
43,1194.704109,LM0 G2 I1
44,1199.792833,LM0 G2 I2
45,1206.071983,LM0 G3 I1
46,1208.183898,LM0 G7 I1
47,1212.313211,LM0 G7 I2
48,1176.985686,LM0 G9 I1
49,1209.262234,LM0 G14 I1
50,1207.833287,LM0 G18 I1
51,1187.662868,LM0 G21 I1
52,1186.453192,LM0 G21 I2
53,1174.183339,LM0 G22 I1
54,1212.546429,LM0 G23 I1
55,1178.344083,LM0 G24 I1
56,1189.968065,LM0 G25 I2
57,1189.34289,LM0 G26 I1
58,1212.918193,LM0 G27 I1
59,1231.119133,LM0 G28 I1
60,1216.666373,LM0 G29 I1
61,1218.000465,LM0 G29 I2
62,1166.816416,LM0 G30 I8
63,1178.899463,LM0 G31 I1
64,1180.139792,LM0 G32 I1
65,1181.330473,LM0 G32 I2
66,1197.075574,LM0 G33 I1
67,1192.209122,LM0 G33 I2
68,1178.621911,LM0 G35 I1
69,1158.984208,LM0 G39 I1
70,1170.779505,LM0 G40 I1
71,1178.084149,LM0 G40 I2